科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"213,802,912.10","253,253,481.68","242,105,146.96","43,629,807.40","98,939,809.33","150,998,755.98","233,243,863.96","43,470,876.58","89,525,730.51","177,067,216.38","331,413,452.26","68,886,273.82","150,727,652.00","253,209,596.03"
二、营业利润,"32,352,852.46","35,651,506.29","30,050,106.79","2,175,348.62","4,781,200.71","8,979,991.57","24,961,934.50","1,431,559.00","1,080,318.53","13,042,142.63","41,625,939.52","2,625,742.35","9,631,785.61","26,708,697.02"
减:营业成本,"124,471,143.17","152,718,793.48","144,613,290.04","25,592,370.37","58,926,420.11","90,279,561.31","140,998,659.68","26,007,948.95","55,098,142.91","101,980,122.88","182,538,483.85","34,007,974.73","79,230,401.51","133,086,901.45"
加:补贴收入,,,,,,,,,,,,,,
营业税金及附加,"2,235,219.57","2,270,407.54","2,378,431.99","462,507.48","919,650.99","1,331,953.64","2,004,641.77","293,742.50","634,152.39","1,148,756.54","3,624,182.56","1,409,135.06","2,812,912.59","4,488,183.09"
营业外收入,"12,325,108.65","13,839,971.65","11,972,043.73","2,403,013.64","4,964,937.82","9,075,905.16","13,227,536.16","2,759,953.11","6,811,302.59","11,342,645.07","18,897,768.44","3,750,804.08","3,806.18","9,408.32"
销售费用,"32,140,707.16","34,242,028.35","35,080,743.65","8,796,461.14","19,882,708.86","29,205,130.99","37,739,961.86","9,066,404.00","18,615,280.65","29,946,624.89","48,551,215.83","13,514,012.76","28,443,185.57","45,775,118.65"
减:营业外支出,"200,000.00","2,579.00","188,665.71",,,,,,,"64,171.60","64,171.60",,"6,116.15","24,022.87"
管理费用,"20,896,371.49","22,129,031.65","23,016,289.34","5,444,802.19","12,276,372.13","18,393,946.22","23,354,548.63","5,751,900.49","12,123,239.36","26,581,719.71","44,232,746.62","14,252,742.96","28,386,119.19","43,156,888.10"
其中:非流动资产处置净损失,,,,,,,,,,"64,121.60","64,121.60",,,
堪探费用,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,
财务费用,"873,736.30","1,602,821.36","1,364,393.53","515,044.80","1,110,939.34","967,655.06","851,818.48","-80,678.36","-95,401.01","295,153.26","578,266.25","772,453.91","1,972,804.23","3,623,448.62"
三、利润总额,"44,477,961.11","49,488,898.94","41,833,484.81","4,578,362.26","9,746,138.53","18,055,896.73","38,189,470.66","4,191,512.11","7,891,621.12","24,320,616.10","60,459,536.36","6,376,546.43","9,629,475.64","26,694,082.47"
资产减值损失,"832,881.95","4,638,893.01","5,601,891.62","643,272.80","1,042,517.19","1,840,517.19","3,332,299.04","1,000,000.00","2,069,997.68","4,072,696.47","10,262,617.63","2,304,212.05","6,705,903.24","6,982,442.82"
减:所得税,"6,215,330.15","6,676,172.25","5,622,764.42","520,589.53","1,254,938.85","2,668,296.05","5,050,607.47","628,901.12","1,184,359.55","2,584,064.16","4,003,939.58","1,294,694.24","1,325,005.62","4,386,230.72"
加:公允价值变动净收益,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,"-119,652.56","-40,877.00"
四、净利润,"38,262,630.96","42,812,726.69","36,210,720.39","4,057,772.73","8,491,199.68","15,387,600.68","33,138,863.19","3,562,610.99","6,707,261.57","21,736,551.94","56,455,596.78","5,081,852.19","8,304,470.02","22,307,851.75"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"38,262,630.96","42,812,726.69","36,210,720.39","4,057,772.73","8,491,199.68","15,387,600.68","33,138,863.19","3,562,610.99","6,707,261.57","21,736,551.94","56,455,596.78","5,081,852.19","8,304,470.02","22,321,919.08"
影响营业利润的其他科目,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,"-14,067.33"
